% The dataset contains car specifications and purchase and maintenance costs, with the goal of determining which combinations of specifications and costs are acceptable.
@relation 'Automotive Trading#car'
@attribute 'Purchase Price: The purchase price.' {very_high, high, medium, low}
@attribute 'Maintenance Price: The maintenance price.' {very_high, high, medium, low}
@attribute 'Doors: The number of doors the car has.' {2, 3, 4, more}
@attribute 'Persons: The capacity in terms of the number of people it can carry.' {2, 4, more}
@attribute 'Boot: The size of the boot.' {small, medium, big}
@attribute 'Safety: The estimated safety of the car.' {low, medium, high}
@attribute 'Rating: The rating of the potential purchase.' {unacceptable, acceptable, good, very_good}
@data
high,medium,2,2,small,low,unacceptable
high,medium,2,2,small,medium,unacceptable
high,medium,2,2,small,high,unacceptable
high,medium,2,2,medium,low,unacceptable
high,medium,2,2,medium,medium,unacceptable
high,medium,2,2,medium,high,unacceptable
high,medium,2,2,big,low,unacceptable
high,medium,2,2,big,medium,unacceptable
high,medium,2,2,big,high,unacceptable
high,medium,2,4,small,low,unacceptable
high,medium,2,4,small,medium,unacceptable
high,medium,2,4,small,high,acceptable
high,medium,2,4,medium,low,unacceptable
high,medium,2,4,medium,medium,unacceptable
high,medium,2,4,medium,high,acceptable
high,medium,2,4,big,low,unacceptable
high,medium,2,4,big,medium,acceptable
high,medium,2,4,big,high,acceptable
high,medium,2,more,small,low,unacceptable
high,medium,2,more,small,medium,unacceptable
high,medium,2,more,small,high,unacceptable
high,medium,2,more,medium,low,unacceptable
high,medium,2,more,medium,medium,unacceptable
high,medium,2,more,medium,high,acceptable
high,medium,2,more,big,low,unacceptable
high,medium,2,more,big,medium,acceptable
high,medium,2,more,big,high,acceptable
high,medium,3,2,small,low,unacceptable
high,medium,3,2,small,medium,unacceptable
high,medium,3,2,small,high,unacceptable
high,medium,3,2,medium,low,unacceptable
high,medium,3,2,medium,medium,unacceptable
high,medium,3,2,medium,high,unacceptable
high,medium,3,2,big,low,unacceptable
high,medium,3,2,big,medium,unacceptable
high,medium,3,2,big,high,unacceptable
high,medium,3,4,small,low,unacceptable
high,medium,3,4,small,medium,unacceptable
high,medium,3,4,small,high,acceptable
high,medium,3,4,medium,low,unacceptable
high,medium,3,4,medium,medium,unacceptable
high,medium,3,4,medium,high,acceptable
high,medium,3,4,big,low,unacceptable
high,medium,3,4,big,medium,acceptable
high,medium,3,4,big,high,acceptable
high,medium,3,more,small,low,unacceptable
high,medium,3,more,small,medium,unacceptable
high,medium,3,more,small,high,acceptable
high,medium,3,more,medium,low,unacceptable
high,medium,3,more,medium,medium,acceptable
high,medium,3,more,medium,high,acceptable
high,medium,3,more,big,low,unacceptable
high,medium,3,more,big,medium,acceptable
high,medium,3,more,big,high,acceptable
high,medium,4,2,small,low,unacceptable
high,medium,4,2,small,medium,unacceptable
high,medium,4,2,small,high,unacceptable
high,medium,4,2,medium,low,unacceptable
high,medium,4,2,medium,medium,unacceptable
high,medium,4,2,medium,high,unacceptable
high,medium,4,2,big,low,unacceptable
high,medium,4,2,big,medium,unacceptable
high,medium,4,2,big,high,unacceptable
high,medium,4,4,small,low,unacceptable
high,medium,4,4,small,medium,unacceptable
high,medium,4,4,small,high,acceptable
high,medium,4,4,medium,low,unacceptable
high,medium,4,4,medium,medium,acceptable
high,medium,4,4,medium,high,acceptable
high,medium,4,4,big,low,unacceptable
high,medium,4,4,big,medium,acceptable
high,medium,4,4,big,high,acceptable
high,medium,4,more,small,low,unacceptable
high,medium,4,more,small,medium,unacceptable
high,medium,4,more,small,high,acceptable
high,medium,4,more,medium,low,unacceptable
high,medium,4,more,medium,medium,acceptable
high,medium,4,more,medium,high,acceptable
high,medium,4,more,big,low,unacceptable
high,medium,4,more,big,medium,acceptable
high,medium,4,more,big,high,acceptable
high,medium,more,2,small,low,unacceptable
high,medium,more,2,small,medium,unacceptable
high,medium,more,2,small,high,unacceptable
high,medium,more,2,medium,low,unacceptable
high,medium,more,2,medium,medium,unacceptable
high,medium,more,2,medium,high,unacceptable
high,medium,more,2,big,low,unacceptable
high,medium,more,2,big,medium,unacceptable
high,medium,more,2,big,high,unacceptable
high,medium,more,4,small,low,unacceptable
high,medium,more,4,small,medium,unacceptable
high,medium,more,4,small,high,acceptable
high,medium,more,4,medium,low,unacceptable
high,medium,more,4,medium,medium,acceptable
high,medium,more,4,medium,high,acceptable
high,medium,more,4,big,low,unacceptable
high,medium,more,4,big,medium,acceptable
high,medium,more,4,big,high,acceptable
high,medium,more,more,small,low,unacceptable
high,medium,more,more,small,medium,unacceptable
high,medium,more,more,small,high,acceptable
high,medium,more,more,medium,low,unacceptable
high,medium,more,more,medium,medium,acceptable
high,medium,more,more,medium,high,acceptable
high,medium,more,more,big,low,unacceptable
high,medium,more,more,big,medium,acceptable
high,medium,more,more,big,high,acceptable
high,low,2,2,small,low,unacceptable
high,low,2,2,small,medium,unacceptable
high,low,2,2,small,high,unacceptable
high,low,2,2,medium,low,unacceptable
high,low,2,2,medium,medium,unacceptable
high,low,2,2,medium,high,unacceptable
high,low,2,2,big,low,unacceptable
high,low,2,2,big,medium,unacceptable
high,low,2,2,big,high,unacceptable
high,low,2,4,small,low,unacceptable
high,low,2,4,small,medium,unacceptable
high,low,2,4,small,high,acceptable
high,low,2,4,medium,low,unacceptable
high,low,2,4,medium,medium,unacceptable
high,low,2,4,medium,high,acceptable
high,low,2,4,big,low,unacceptable
high,low,2,4,big,medium,acceptable
high,low,2,4,big,high,acceptable
high,low,2,more,small,low,unacceptable
high,low,2,more,small,medium,unacceptable
high,low,2,more,small,high,unacceptable
high,low,2,more,medium,low,unacceptable
high,low,2,more,medium,medium,unacceptable
high,low,2,more,medium,high,acceptable
high,low,2,more,big,low,unacceptable
high,low,2,more,big,medium,acceptable
high,low,2,more,big,high,acceptable
high,low,3,2,small,low,unacceptable
high,low,3,2,small,medium,unacceptable
high,low,3,2,small,high,unacceptable
high,low,3,2,medium,low,unacceptable
high,low,3,2,medium,medium,unacceptable
high,low,3,2,medium,high,unacceptable
high,low,3,2,big,low,unacceptable
high,low,3,2,big,medium,unacceptable
high,low,3,2,big,high,unacceptable
high,low,3,4,small,low,unacceptable
high,low,3,4,small,medium,unacceptable
high,low,3,4,small,high,acceptable
high,low,3,4,medium,low,unacceptable
high,low,3,4,medium,medium,unacceptable
high,low,3,4,medium,high,acceptable
high,low,3,4,big,low,unacceptable
high,low,3,4,big,medium,acceptable
high,low,3,4,big,high,acceptable
high,low,3,more,small,low,unacceptable
high,low,3,more,small,medium,unacceptable
high,low,3,more,small,high,acceptable
high,low,3,more,medium,low,unacceptable
high,low,3,more,medium,medium,acceptable
high,low,3,more,medium,high,acceptable
high,low,3,more,big,low,unacceptable
high,low,3,more,big,medium,acceptable
high,low,3,more,big,high,acceptable
high,low,4,2,small,low,unacceptable
high,low,4,2,small,medium,unacceptable
high,low,4,2,small,high,unacceptable
high,low,4,2,medium,low,unacceptable
high,low,4,2,medium,medium,unacceptable
high,low,4,2,medium,high,unacceptable
high,low,4,2,big,low,unacceptable
high,low,4,2,big,medium,unacceptable
high,low,4,2,big,high,unacceptable
high,low,4,4,small,low,unacceptable
high,low,4,4,small,medium,unacceptable
high,low,4,4,small,high,acceptable
high,low,4,4,medium,low,unacceptable
high,low,4,4,medium,medium,acceptable
high,low,4,4,medium,high,acceptable
high,low,4,4,big,low,unacceptable
high,low,4,4,big,medium,acceptable
high,low,4,4,big,high,acceptable
high,low,4,more,small,low,unacceptable
high,low,4,more,small,medium,unacceptable
high,low,4,more,small,high,acceptable
high,low,4,more,medium,low,unacceptable
high,low,4,more,medium,medium,acceptable
high,low,4,more,medium,high,acceptable
high,low,4,more,big,low,unacceptable
high,low,4,more,big,medium,acceptable
high,low,4,more,big,high,acceptable
high,low,more,2,small,low,unacceptable
high,low,more,2,small,medium,unacceptable
high,low,more,2,small,high,unacceptable
high,low,more,2,medium,low,unacceptable
high,low,more,2,medium,medium,unacceptable
high,low,more,2,medium,high,unacceptable
high,low,more,2,big,low,unacceptable
high,low,more,2,big,medium,unacceptable
high,low,more,2,big,high,unacceptable
high,low,more,4,small,low,unacceptable
high,low,more,4,small,medium,unacceptable
high,low,more,4,small,high,acceptable
high,low,more,4,medium,low,unacceptable
high,low,more,4,medium,medium,acceptable
high,low,more,4,medium,high,acceptable
high,low,more,4,big,low,unacceptable
high,low,more,4,big,medium,acceptable
high,low,more,4,big,high,acceptable
high,low,more,more,small,low,unacceptable
high,low,more,more,small,medium,unacceptable
high,low,more,more,small,high,acceptable
high,low,more,more,medium,low,unacceptable
high,low,more,more,medium,medium,acceptable
high,low,more,more,medium,high,acceptable
high,low,more,more,big,low,unacceptable
high,low,more,more,big,medium,acceptable
high,low,more,more,big,high,acceptable
medium,very_high,2,2,small,low,unacceptable
medium,very_high,2,2,small,medium,unacceptable
medium,very_high,2,2,small,high,unacceptable
medium,very_high,2,2,medium,low,unacceptable
medium,very_high,2,2,medium,medium,unacceptable
medium,very_high,2,2,medium,high,unacceptable
medium,very_high,2,2,big,low,unacceptable
medium,very_high,2,2,big,medium,unacceptable
medium,very_high,2,2,big,high,unacceptable
medium,very_high,2,4,small,low,unacceptable
medium,very_high,2,4,small,medium,unacceptable
medium,very_high,2,4,small,high,acceptable
medium,very_high,2,4,medium,low,unacceptable
medium,very_high,2,4,medium,medium,unacceptable
medium,very_high,2,4,medium,high,acceptable
medium,very_high,2,4,big,low,unacceptable
medium,very_high,2,4,big,medium,acceptable
medium,very_high,2,4,big,high,acceptable
medium,very_high,2,more,small,low,unacceptable
medium,very_high,2,more,small,medium,unacceptable
medium,very_high,2,more,small,high,unacceptable
medium,very_high,2,more,medium,low,unacceptable
medium,very_high,2,more,medium,medium,unacceptable
medium,very_high,2,more,medium,high,acceptable
medium,very_high,2,more,big,low,unacceptable
medium,very_high,2,more,big,medium,acceptable
medium,very_high,2,more,big,high,acceptable
medium,very_high,3,2,small,low,unacceptable
medium,very_high,3,2,small,medium,unacceptable
medium,very_high,3,2,small,high,unacceptable
medium,very_high,3,2,medium,low,unacceptable
medium,very_high,3,2,medium,medium,unacceptable
medium,very_high,3,2,medium,high,unacceptable
medium,very_high,3,2,big,low,unacceptable
medium,very_high,3,2,big,medium,unacceptable
medium,very_high,3,2,big,high,unacceptable
medium,very_high,3,4,small,low,unacceptable
medium,very_high,3,4,small,medium,unacceptable
medium,very_high,3,4,small,high,acceptable
medium,very_high,3,4,medium,low,unacceptable
medium,very_high,3,4,medium,medium,unacceptable
medium,very_high,3,4,medium,high,acceptable
medium,very_high,3,4,big,low,unacceptable
medium,very_high,3,4,big,medium,acceptable
medium,very_high,3,4,big,high,acceptable
medium,very_high,3,more,small,low,unacceptable
medium,very_high,3,more,small,medium,unacceptable
medium,very_high,3,more,small,high,acceptable
medium,very_high,3,more,medium,low,unacceptable
medium,very_high,3,more,medium,medium,acceptable
medium,very_high,3,more,medium,high,acceptable
medium,very_high,3,more,big,low,unacceptable
medium,very_high,3,more,big,medium,acceptable
medium,very_high,3,more,big,high,acceptable
medium,very_high,4,2,small,low,unacceptable
medium,very_high,4,2,small,medium,unacceptable
medium,very_high,4,2,small,high,unacceptable
medium,very_high,4,2,medium,low,unacceptable
medium,very_high,4,2,medium,medium,unacceptable
medium,very_high,4,2,medium,high,unacceptable
medium,very_high,4,2,big,low,unacceptable
medium,very_high,4,2,big,medium,unacceptable
medium,very_high,4,2,big,high,unacceptable
medium,very_high,4,4,small,low,unacceptable
medium,very_high,4,4,small,medium,unacceptable
medium,very_high,4,4,small,high,acceptable
medium,very_high,4,4,medium,low,unacceptable
medium,very_high,4,4,medium,medium,acceptable
medium,very_high,4,4,medium,high,acceptable
medium,very_high,4,4,big,low,unacceptable
medium,very_high,4,4,big,medium,acceptable
medium,very_high,4,4,big,high,acceptable
medium,very_high,4,more,small,low,unacceptable
medium,very_high,4,more,small,medium,unacceptable
medium,very_high,4,more,small,high,acceptable
medium,very_high,4,more,medium,low,unacceptable
medium,very_high,4,more,medium,medium,acceptable
medium,very_high,4,more,medium,high,acceptable
medium,very_high,4,more,big,low,unacceptable
medium,very_high,4,more,big,medium,acceptable
medium,very_high,4,more,big,high,acceptable
medium,very_high,more,2,small,low,unacceptable
medium,very_high,more,2,small,medium,unacceptable
medium,very_high,more,2,small,high,unacceptable
medium,very_high,more,2,medium,low,unacceptable
medium,very_high,more,2,medium,medium,unacceptable
medium,very_high,more,2,medium,high,unacceptable
medium,very_high,more,2,big,low,unacceptable
medium,very_high,more,2,big,medium,unacceptable
medium,very_high,more,2,big,high,unacceptable
medium,very_high,more,4,small,low,unacceptable
medium,very_high,more,4,small,medium,unacceptable
medium,very_high,more,4,small,high,acceptable
medium,very_high,more,4,medium,low,unacceptable
medium,very_high,more,4,medium,medium,acceptable
medium,very_high,more,4,medium,high,acceptable
medium,very_high,more,4,big,low,unacceptable
medium,very_high,more,4,big,medium,acceptable
medium,very_high,more,4,big,high,acceptable
medium,very_high,more,more,small,low,unacceptable
medium,very_high,more,more,small,medium,unacceptable
medium,very_high,more,more,small,high,acceptable
medium,very_high,more,more,medium,low,unacceptable
medium,very_high,more,more,medium,medium,acceptable
medium,very_high,more,more,medium,high,acceptable
medium,very_high,more,more,big,low,unacceptable
medium,very_high,more,more,big,medium,acceptable
medium,very_high,more,more,big,high,acceptable
medium,high,2,2,small,low,unacceptable
medium,high,2,2,small,medium,unacceptable
medium,high,2,2,small,high,unacceptable
medium,high,2,2,medium,low,unacceptable
medium,high,2,2,medium,medium,unacceptable
medium,high,2,2,medium,high,unacceptable
medium,high,2,2,big,low,unacceptable
medium,high,2,2,big,medium,unacceptable
medium,high,2,2,big,high,unacceptable
medium,high,2,4,small,low,unacceptable
medium,high,2,4,small,medium,unacceptable
medium,high,2,4,small,high,acceptable
medium,high,2,4,medium,low,unacceptable
medium,high,2,4,medium,medium,unacceptable
medium,high,2,4,medium,high,acceptable
medium,high,2,4,big,low,unacceptable
medium,high,2,4,big,medium,acceptable
medium,high,2,4,big,high,acceptable
medium,high,2,more,small,low,unacceptable
medium,high,2,more,small,medium,unacceptable
medium,high,2,more,small,high,unacceptable
medium,high,2,more,medium,low,unacceptable
medium,high,2,more,medium,medium,unacceptable
medium,high,2,more,medium,high,acceptable
medium,high,2,more,big,low,unacceptable
medium,high,2,more,big,medium,acceptable
medium,high,2,more,big,high,acceptable
medium,high,3,2,small,low,unacceptable
medium,high,3,2,small,medium,unacceptable
medium,high,3,2,small,high,unacceptable
medium,high,3,2,medium,low,unacceptable
medium,high,3,2,medium,medium,unacceptable
medium,high,3,2,medium,high,unacceptable
medium,high,3,2,big,low,unacceptable
medium,high,3,2,big,medium,unacceptable
medium,high,3,2,big,high,unacceptable
medium,high,3,4,small,low,unacceptable
medium,high,3,4,small,medium,unacceptable
medium,high,3,4,small,high,acceptable
medium,high,3,4,medium,low,unacceptable
medium,high,3,4,medium,medium,unacceptable
medium,high,3,4,medium,high,acceptable
medium,high,3,4,big,low,unacceptable
medium,high,3,4,big,medium,acceptable
medium,high,3,4,big,high,acceptable
medium,high,3,more,small,low,unacceptable
medium,high,3,more,small,medium,unacceptable
medium,high,3,more,small,high,acceptable
medium,high,3,more,medium,low,unacceptable
medium,high,3,more,medium,medium,acceptable
medium,high,3,more,medium,high,acceptable
medium,high,3,more,big,low,unacceptable
medium,high,3,more,big,medium,acceptable
medium,high,3,more,big,high,acceptable
medium,high,4,2,small,low,unacceptable
medium,high,4,2,small,medium,unacceptable
medium,high,4,2,small,high,unacceptable
medium,high,4,2,medium,low,unacceptable
medium,high,4,2,medium,medium,unacceptable
medium,high,4,2,medium,high,unacceptable
medium,high,4,2,big,low,unacceptable
medium,high,4,2,big,medium,unacceptable
medium,high,4,2,big,high,unacceptable
medium,high,4,4,small,low,unacceptable
medium,high,4,4,small,medium,unacceptable
medium,high,4,4,small,high,acceptable
medium,high,4,4,medium,low,unacceptable
medium,high,4,4,medium,medium,acceptable
medium,high,4,4,medium,high,acceptable
medium,high,4,4,big,low,unacceptable
medium,high,4,4,big,medium,acceptable
medium,high,4,4,big,high,acceptable
medium,high,4,more,small,low,unacceptable
medium,high,4,more,small,medium,unacceptable
medium,high,4,more,small,high,acceptable
medium,high,4,more,medium,low,unacceptable
medium,high,4,more,medium,medium,acceptable
medium,high,4,more,medium,high,acceptable
medium,high,4,more,big,low,unacceptable
medium,high,4,more,big,medium,acceptable
medium,high,4,more,big,high,acceptable
medium,high,more,2,small,low,unacceptable
medium,high,more,2,small,medium,unacceptable
medium,high,more,2,small,high,unacceptable
medium,high,more,2,medium,low,unacceptable
medium,high,more,2,medium,medium,unacceptable
medium,high,more,2,medium,high,unacceptable
medium,high,more,2,big,low,unacceptable
medium,high,more,2,big,medium,unacceptable
medium,high,more,2,big,high,unacceptable
medium,high,more,4,small,low,unacceptable
medium,high,more,4,small,medium,unacceptable
medium,high,more,4,small,high,acceptable
medium,high,more,4,medium,low,unacceptable
medium,high,more,4,medium,medium,acceptable
medium,high,more,4,medium,high,acceptable
medium,high,more,4,big,low,unacceptable
medium,high,more,4,big,medium,acceptable
medium,high,more,4,big,high,acceptable
medium,high,more,more,small,low,unacceptable
medium,high,more,more,small,medium,unacceptable
medium,high,more,more,small,high,acceptable
medium,high,more,more,medium,low,unacceptable
medium,high,more,more,medium,medium,acceptable
medium,high,more,more,medium,high,acceptable
medium,high,more,more,big,low,unacceptable
medium,high,more,more,big,medium,acceptable
medium,high,more,more,big,high,acceptable
medium,medium,2,2,small,low,unacceptable
medium,medium,2,2,small,medium,unacceptable
medium,medium,2,2,small,high,unacceptable
medium,medium,2,2,medium,low,unacceptable
medium,medium,2,2,medium,medium,unacceptable
medium,medium,2,2,medium,high,unacceptable
medium,medium,2,2,big,low,unacceptable
medium,medium,2,2,big,medium,unacceptable
medium,medium,2,2,big,high,unacceptable
medium,medium,2,4,small,low,unacceptable
medium,medium,2,4,small,medium,acceptable
medium,medium,2,4,small,high,acceptable
medium,medium,2,4,medium,low,unacceptable
medium,medium,2,4,medium,medium,acceptable
medium,medium,2,4,medium,high,acceptable
medium,medium,2,4,big,low,unacceptable
medium,medium,2,4,big,medium,acceptable
medium,medium,2,4,big,high,very_good
medium,medium,2,more,small,low,unacceptable
medium,medium,2,more,small,medium,unacceptable
medium,medium,2,more,small,high,unacceptable
medium,medium,2,more,medium,low,unacceptable
medium,medium,2,more,medium,medium,acceptable
medium,medium,2,more,medium,high,acceptable
medium,medium,2,more,big,low,unacceptable
medium,medium,2,more,big,medium,acceptable
medium,medium,2,more,big,high,very_good
medium,medium,3,2,small,low,unacceptable
medium,medium,3,2,small,medium,unacceptable
medium,medium,3,2,small,high,unacceptable
medium,medium,3,2,medium,low,unacceptable
medium,medium,3,2,medium,medium,unacceptable
medium,medium,3,2,medium,high,unacceptable
medium,medium,3,2,big,low,unacceptable
medium,medium,3,2,big,medium,unacceptable
medium,medium,3,2,big,high,unacceptable
medium,medium,3,4,small,low,unacceptable
medium,medium,3,4,small,medium,acceptable
medium,medium,3,4,small,high,acceptable
medium,medium,3,4,medium,low,unacceptable
medium,medium,3,4,medium,medium,acceptable
medium,medium,3,4,medium,high,acceptable
medium,medium,3,4,big,low,unacceptable
medium,medium,3,4,big,medium,acceptable
medium,medium,3,4,big,high,very_good
medium,medium,3,more,small,low,unacceptable
medium,medium,3,more,small,medium,acceptable
medium,medium,3,more,small,high,acceptable
medium,medium,3,more,medium,low,unacceptable
medium,medium,3,more,medium,medium,acceptable
medium,medium,3,more,medium,high,very_good
medium,medium,3,more,big,low,unacceptable
medium,medium,3,more,big,medium,acceptable
medium,medium,3,more,big,high,very_good
medium,medium,4,2,small,low,unacceptable
medium,medium,4,2,small,medium,unacceptable
medium,medium,4,2,small,high,unacceptable
medium,medium,4,2,medium,low,unacceptable
medium,medium,4,2,medium,medium,unacceptable
medium,medium,4,2,medium,high,unacceptable
medium,medium,4,2,big,low,unacceptable
medium,medium,4,2,big,medium,unacceptable
medium,medium,4,2,big,high,unacceptable
medium,medium,4,4,small,low,unacceptable
medium,medium,4,4,small,medium,acceptable
medium,medium,4,4,small,high,acceptable
medium,medium,4,4,medium,low,unacceptable
medium,medium,4,4,medium,medium,acceptable
medium,medium,4,4,medium,high,very_good
medium,medium,4,4,big,low,unacceptable
medium,medium,4,4,big,medium,acceptable
medium,medium,4,4,big,high,very_good
medium,medium,4,more,small,low,unacceptable
medium,medium,4,more,small,medium,acceptable
medium,medium,4,more,small,high,acceptable
medium,medium,4,more,medium,low,unacceptable
medium,medium,4,more,medium,medium,acceptable
medium,medium,4,more,medium,high,very_good
medium,medium,4,more,big,low,unacceptable
medium,medium,4,more,big,medium,acceptable
medium,medium,4,more,big,high,very_good
medium,medium,more,2,small,low,unacceptable
medium,medium,more,2,small,medium,unacceptable
medium,medium,more,2,small,high,unacceptable
medium,medium,more,2,medium,low,unacceptable
medium,medium,more,2,medium,medium,unacceptable
medium,medium,more,2,medium,high,unacceptable
medium,medium,more,2,big,low,unacceptable
medium,medium,more,2,big,medium,unacceptable
medium,medium,more,2,big,high,unacceptable
medium,medium,more,4,small,low,unacceptable
medium,medium,more,4,small,medium,acceptable
medium,medium,more,4,small,high,acceptable
medium,medium,more,4,medium,low,unacceptable
medium,medium,more,4,medium,medium,acceptable
medium,medium,more,4,medium,high,very_good
medium,medium,more,4,big,low,unacceptable
medium,medium,more,4,big,medium,acceptable
medium,medium,more,4,big,high,very_good
medium,medium,more,more,small,low,unacceptable
medium,medium,more,more,small,medium,acceptable
medium,medium,more,more,small,high,acceptable
medium,medium,more,more,medium,low,unacceptable
medium,medium,more,more,medium,medium,acceptable
medium,medium,more,more,medium,high,very_good
medium,medium,more,more,big,low,unacceptable
medium,medium,more,more,big,medium,acceptable
medium,medium,more,more,big,high,very_good
medium,low,2,2,small,low,unacceptable
medium,low,2,2,small,medium,unacceptable
medium,low,2,2,small,high,unacceptable
medium,low,2,2,medium,low,unacceptable
medium,low,2,2,medium,medium,unacceptable
medium,low,2,2,medium,high,unacceptable
medium,low,2,2,big,low,unacceptable
medium,low,2,2,big,medium,unacceptable
medium,low,2,2,big,high,unacceptable
medium,low,2,4,small,low,unacceptable
medium,low,2,4,small,medium,acceptable
medium,low,2,4,small,high,good
medium,low,2,4,medium,low,unacceptable
medium,low,2,4,medium,medium,acceptable
medium,low,2,4,medium,high,good
medium,low,2,4,big,low,unacceptable
medium,low,2,4,big,medium,good
medium,low,2,4,big,high,very_good
medium,low,2,more,small,low,unacceptable
medium,low,2,more,small,medium,unacceptable
medium,low,2,more,small,high,unacceptable
medium,low,2,more,medium,low,unacceptable
medium,low,2,more,medium,medium,acceptable
medium,low,2,more,medium,high,good
medium,low,2,more,big,low,unacceptable
medium,low,2,more,big,medium,good
medium,low,2,more,big,high,very_good
medium,low,3,2,small,low,unacceptable
medium,low,3,2,small,medium,unacceptable
medium,low,3,2,small,high,unacceptable
medium,low,3,2,medium,low,unacceptable
medium,low,3,2,medium,medium,unacceptable
medium,low,3,2,medium,high,unacceptable
medium,low,3,2,big,low,unacceptable
medium,low,3,2,big,medium,unacceptable
medium,low,3,2,big,high,unacceptable
medium,low,3,4,small,low,unacceptable
medium,low,3,4,small,medium,acceptable
medium,low,3,4,small,high,good
medium,low,3,4,medium,low,unacceptable
medium,low,3,4,medium,medium,acceptable
medium,low,3,4,medium,high,good
medium,low,3,4,big,low,unacceptable
medium,low,3,4,big,medium,good
medium,low,3,4,big,high,very_good
medium,low,3,more,small,low,unacceptable
medium,low,3,more,small,medium,acceptable
medium,low,3,more,small,high,good
medium,low,3,more,medium,low,unacceptable
medium,low,3,more,medium,medium,good
medium,low,3,more,medium,high,very_good
medium,low,3,more,big,low,unacceptable
medium,low,3,more,big,medium,good
medium,low,3,more,big,high,very_good
medium,low,4,2,small,low,unacceptable
medium,low,4,2,small,medium,unacceptable
medium,low,4,2,small,high,unacceptable
medium,low,4,2,medium,low,unacceptable
medium,low,4,2,medium,medium,unacceptable
medium,low,4,2,medium,high,unacceptable
medium,low,4,2,big,low,unacceptable
medium,low,4,2,big,medium,unacceptable
medium,low,4,2,big,high,unacceptable
medium,low,4,4,small,low,unacceptable
medium,low,4,4,small,medium,acceptable
medium,low,4,4,small,high,good
medium,low,4,4,medium,low,unacceptable
medium,low,4,4,medium,medium,good
medium,low,4,4,medium,high,very_good
medium,low,4,4,big,low,unacceptable
medium,low,4,4,big,medium,good
medium,low,4,4,big,high,very_good
medium,low,4,more,small,low,unacceptable
medium,low,4,more,small,medium,acceptable
medium,low,4,more,small,high,good
medium,low,4,more,medium,low,unacceptable
medium,low,4,more,medium,medium,good
medium,low,4,more,medium,high,very_good
medium,low,4,more,big,low,unacceptable
medium,low,4,more,big,medium,good
medium,low,4,more,big,high,very_good
medium,low,more,2,small,low,unacceptable
medium,low,more,2,small,medium,unacceptable
medium,low,more,2,small,high,unacceptable
medium,low,more,2,medium,low,unacceptable
medium,low,more,2,medium,medium,unacceptable
medium,low,more,2,medium,high,unacceptable
medium,low,more,2,big,low,unacceptable
medium,low,more,2,big,medium,unacceptable
medium,low,more,2,big,high,unacceptable
medium,low,more,4,small,low,unacceptable
medium,low,more,4,small,medium,acceptable
medium,low,more,4,small,high,good
medium,low,more,4,medium,low,unacceptable
medium,low,more,4,medium,medium,good
medium,low,more,4,medium,high,very_good
medium,low,more,4,big,low,unacceptable
medium,low,more,4,big,medium,good
medium,low,more,4,big,high,very_good
medium,low,more,more,small,low,unacceptable
medium,low,more,more,small,medium,acceptable
medium,low,more,more,small,high,good
medium,low,more,more,medium,low,unacceptable
medium,low,more,more,medium,medium,good
medium,low,more,more,medium,high,very_good
medium,low,more,more,big,low,unacceptable
medium,low,more,more,big,medium,good
medium,low,more,more,big,high,very_good
low,very_high,2,2,small,low,unacceptable
low,very_high,2,2,small,medium,unacceptable
low,very_high,2,2,small,high,unacceptable
low,very_high,2,2,medium,low,unacceptable
low,very_high,2,2,medium,medium,unacceptable
low,very_high,2,2,medium,high,unacceptable
low,very_high,2,2,big,low,unacceptable
low,very_high,2,2,big,medium,unacceptable
low,very_high,2,2,big,high,unacceptable
low,very_high,2,4,small,low,unacceptable
low,very_high,2,4,small,medium,unacceptable
low,very_high,2,4,small,high,acceptable
low,very_high,2,4,medium,low,unacceptable
low,very_high,2,4,medium,medium,unacceptable
low,very_high,2,4,medium,high,acceptable
low,very_high,2,4,big,low,unacceptable
low,very_high,2,4,big,medium,acceptable
low,very_high,2,4,big,high,acceptable
low,very_high,2,more,small,low,unacceptable
low,very_high,2,more,small,medium,unacceptable
low,very_high,2,more,small,high,unacceptable
low,very_high,2,more,medium,low,unacceptable
low,very_high,2,more,medium,medium,unacceptable
low,very_high,2,more,medium,high,acceptable
low,very_high,2,more,big,low,unacceptable
low,very_high,2,more,big,medium,acceptable
low,very_high,2,more,big,high,acceptable
low,very_high,3,2,small,low,unacceptable
low,very_high,3,2,small,medium,unacceptable
low,very_high,3,2,small,high,unacceptable
low,very_high,3,2,medium,low,unacceptable
low,very_high,3,2,medium,medium,unacceptable
low,very_high,3,2,medium,high,unacceptable
low,very_high,3,2,big,low,unacceptable
low,very_high,3,2,big,medium,unacceptable
low,very_high,3,2,big,high,unacceptable
low,very_high,3,4,small,low,unacceptable
low,very_high,3,4,small,medium,unacceptable
low,very_high,3,4,small,high,acceptable
low,very_high,3,4,medium,low,unacceptable
low,very_high,3,4,medium,medium,unacceptable
low,very_high,3,4,medium,high,acceptable
low,very_high,3,4,big,low,unacceptable
low,very_high,3,4,big,medium,acceptable
low,very_high,3,4,big,high,acceptable
low,very_high,3,more,small,low,unacceptable
low,very_high,3,more,small,medium,unacceptable
low,very_high,3,more,small,high,acceptable
low,very_high,3,more,medium,low,unacceptable
low,very_high,3,more,medium,medium,acceptable
low,very_high,3,more,medium,high,acceptable
low,very_high,3,more,big,low,unacceptable
